id,university,prof_title,first_lesson,second_lesson,total_grant,full_kz,full_ru,full_en,shortened_kz,shortened_ru
,Ш.Уәлиханов атындағы Көкшетау мемлекеттік университеті,география,биология,география,20,15,5,0,0,0
,Қостанай мемлекеттік педагогикалық институты,география,биология,география,20,15,5,0,0,0
,Z.Aldamzhara атындағы Қостанай әлеуметтік-техникалық университеті,география,биология,география,20,15,5,0,0,0
,Қызылорда мемлекеттік университеті Қорқыт Ата атындағы,география,биология,география,20,15,5,0,0,0
,Халықаралық гуманитарлық-техникалық университеті,география,биология,география,20,15,5,0,0,0
,HA Яссауи атындағы Халықаралық қазақ-түрік университеті,география,биология,география,20,15,5,0,0,0
,Павлодар мемлекеттік педагогикалық институты,география,биология,география,20,15,5,0,0,15
,Аймақтық әлеуметтік-инновациялық университеті,география,биология,география,20,15,5,0,0,15
,Тараз мемлекеттік педагогикалық университеті,география,биология,география,20,15,5,0,0,15
,М.Дулатов атындағы Тараз мемлекеттік университеті,география,биология,география,20,15,5,0,0,15
,Тараз инновациялық-гуманитарлық университеті,география,биология,география,20,15,5,0,0,15
,«Болашақ» университетінің,география,биология,география,20,15,5,0,0,15
,Университеті «Сырдария»,география,биология,география,20,15,5,0,0,15
,Орта-Азиялық Университеті,география,биология,география,20,15,5,0,0,15
,Шымкент университеті,география,биология,география,20,15,5,0,0,15
,Оңтүстік Қазақстан мемлекеттік педагогикалық институты,география,биология,география,20,15,5,0,0,15
,М.Әуезов атындағы Оңтүстік Қазақстан мемлекеттік университеті,география,биология,география,20,15,5,0,0,15
,С.Аманжолов атындағы Шығыс Қазақстан мемлекеттік университеті,география,география,математика,200,150,50,0,0,15
,М.Өтемісов атындағы Батыс-Қазақстан мемлекеттік университеті,география,география,математика,200,150,50,0,0,15
,Инновациялық Еуразия университеті,география,география,математика,200,150,50,0,0,15
,Қазақ мемлекеттік қыздар педагогикалық университеті,география,география,математика,200,150,50,0,0,15
,Абай атындағы Қазақ ұлттық педагогикалық университеті,география,география,математика,200,150,50,0,0,15
,Әл-Фараби атындағы Қазақ ұлттық университеті,география,география,математика,200,150,50,0,0,15
,С. Торайғыров атындағы Павлодар мемлекеттік университеті,география,география,математика,200,150,50,0,0,15
,С.Аманжолов атындағы Шығыс Қазақстан мемлекеттік университеті,География Тарих,Дүниежүзі тарихы,география,190,143,47,0,0,15
,Атырау мұнай және газ университеті,Геодезия және картография,математика,география,250,169,56,0,19,15
,Д.Серікбаев атындағы Шығыс Қазақстан мемлекеттік техникалық университеті,Геодезия және картография,математика,география,250,169,56,0,19,15
,Мемлекеттік университеті Семей қаласының Шәкәрім атындағы атындағы,Геодезия және картография,математика,география,250,169,56,0,19,15
,С.Сейфуллин атындағы Қазақ агротехникалық университеті,Геодезия және картография,математика,география,250,169,56,0,19,15
,Қ.И. Сәтбаев атындағы Қазақ ұлттық техникалық зерттеу университетіне,Геодезия және картография,математика,география,250,169,56,0,19,15
,Әл-Фараби атындағы Қазақ ұлттық университеті,Геодезия және картография,математика,география,250,169,56,0,19,15
,Қарағанды ​​мемлекеттік техникалық университеті,Геодезия және картография,математика,география,250,169,56,0,19,15
,Халықаралық білім беру корпорациясы,Геодезия және картография,математика,география,250,169,56,0,19,15
,L.N.Gumilyov Еуразия ұлттық университеті,гидрология,математика,география,120,90,30,0,0,15
,Әл-Фараби атындағы Қазақ ұлттық университеті,гидрология,математика,география,120,90,30,0,0,15
,Қазақ Ұлттық Өнер академиясы,графика,шығармашылық емтихан,шығармашылық емтихан,7,5,2,0,0,15
,Абай атындағы Қазақ ұлттық педагогикалық университеті,графика,шығармашылық емтихан,шығармашылық емтихан,7,5,2,0,0,15
,HA Яссауи атындағы Халықаралық қазақ-түрік университеті,графика,шығармашылық емтихан,шығармашылық емтихан,7,5,2,0,0,15
,Аймақтық әлеуметтік-инновациялық университеті,графика,шығармашылық емтихан,шығармашылық емтихан,7,5,2,0,0,15
,Энергетика және байланыс университеті,Ғарыштық техника және технология,математика,физика,280,210,70,0,0,15
,Қ.И. Сәтбаев атындағы Қазақ ұлттық техникалық зерттеу университетіне,Ғарыштық техника және технология,математика,физика,280,210,70,0,0,15
,Әл-Фараби атындағы Қазақ ұлттық университеті,Ғарыштық техника және технология,математика,физика,280,210,70,0,0,15
,Академия «Болашақ»,дәріхана,биология,химия,67,50,17,0,0,15
,М. Оспанов атындағы Батыс Қазақстан мемлекеттік медицина университеті,дәріхана,биология,химия,67,50,17,0,0,15
,Қазақстан-Ресей медицина университеті,дәріхана,биология,химия,67,50,17,0,0,5
,М.Өтемісов атындағы Батыс-Қазақстан мемлекеттік университеті,Дәстүрлі музыкалық өнер,шығармашылық емтихан,шығармашылық емтихан,7,5,2,0,0,5
,Қазақ Ұлттық Өнер академиясы,Дәстүрлі музыкалық өнер,шығармашылық емтихан,шығармашылық емтихан,7,5,2,0,0,5
,Құрманғазы атындағы Қазақ ұлттық консерваториясы,Дәстүрлі музыкалық өнер,шығармашылық емтихан,шығармашылық емтихан,7,5,2,0,0,5
,Қазақ мемлекеттік қыздар педагогикалық университеті,Дәстүрлі музыкалық өнер,шығармашылық емтихан,шығармашылық емтихан,7,5,2,0,0,5
,Қазақ ұлттық өнер университеті,Дәстүрлі музыкалық өнер,шығармашылық емтихан,шығармашылық емтихан,7,5,2,0,0,5
,HA Яссауи атындағы Халықаралық қазақ-түрік университеті,Дәстүрлі музыкалық өнер,шығармашылық емтихан,шығармашылық емтихан,7,5,2,0,0,5
,Алтынсарин атындағы Арқалық мемлекеттік педагогикалық институты,Дене шынықтыру және спорт,шығармашылық емтихан,шығармашылық емтихан,450,225,75,0,113,5
,С.Аманжолов атындағы Шығыс Қазақстан мемлекеттік университеті,Дене шынықтыру және спорт,шығармашылық емтихан,шығармашылық емтихан,450,225,75,0,113,5
,Мемлекеттік университеті Семей қаласының Шәкәрім атындағы атындағы,Дене шынықтыру және спорт,шығармашылық емтихан,шығармашылық емтихан,450,225,75,0,113,5
,Ө.А.Байқоңыров атындағы Жезқазған университеті,Дене шынықтыру және спорт,шығармашылық емтихан,шығармашылық емтихан,450,225,75,0,113,5
,І.Жансүгіров атындағы Жетісу мемлекеттік университеті,Дене шынықтыру және спорт,шығармашылық емтихан,шығармашылық емтихан,450,225,75,0,113,0
,М.Өтемісов атындағы Батыс-Қазақстан мемлекеттік университеті,Дене шынықтыру және спорт,шығармашылық емтихан,шығармашылық емтихан,450,225,75,0,113,0
,Батыс Қазақстан инновациялық және технология университеті,Дене шынықтыру және спорт,шығармашылық емтихан,шығармашылық емтихан,450,225,75,0,113,2
,Спорт және туризм академиясы,Дене шынықтыру және спорт,шығармашылық емтихан,шығармашылық емтихан,450,225,75,0,113,2
,Қазақ мемлекеттік қыздар педагогикалық университеті,Дене шынықтыру және спорт,шығармашылық емтихан,шығармашылық емтихан,450,225,75,0,113,2
,Қазақстан-Американдық еркін университеті,Дене шынықтыру және спорт,шығармашылық емтихан,шығармашылық емтихан,450,225,75,0,113,
,Қарағанды ​​мемлекеттік университеті,Дене шынықтыру және спорт,шығармашылық емтихан,шығармашылық емтихан,450,225,75,0,113,0
,Ш.Уәлиханов атындағы Көкшетау мемлекеттік университеті,Дене шынықтыру және спорт,шығармашылық емтихан,шығармашылық емтихан,450,225,75,0,113,0
,А. Мырзахметова атындағы Көкшетау университеті,Дене шынықтыру және спорт,шығармашылық емтихан,шығармашылық емтихан,450,225,75,0,113,0
,Қостанай мемлекеттік педагогикалық институты,Дене шынықтыру және спорт,шығармашылық емтихан,шығармашылық емтихан,450,225,75,0,113,0
,Z.Aldamzhara атындағы Қостанай әлеуметтік-техникалық университеті,Дене шынықтыру және спорт,шығармашылық емтихан,шығармашылық емтихан,450,225,75,0,113,0
,Қызылорда мемлекеттік университеті Қорқыт Ата атындағы,Дене шынықтыру және спорт,шығармашылық емтихан,шығармашылық емтихан,450,225,75,0,113,0
,Халықаралық гуманитарлық-техникалық университеті,Дене шынықтыру және спорт,шығармашылық емтихан,шығармашылық емтихан,450,225,75,0,113,0
,HA Яссауи атындағы Халықаралық қазақ-түрік университеті,Дене шынықтыру және спорт,шығармашылық емтихан,шығармашылық емтихан,450,225,75,0,113,0
,Павлодар мемлекеттік педагогикалық институты,Дене шынықтыру және спорт,шығармашылық емтихан,шығармашылық емтихан,450,225,75,0,113,0
,Аймақтық әлеуметтік-инновациялық университеті,Дене шынықтыру және спорт,шығармашылық емтихан,шығармашылық емтихан,450,225,75,0,113,0
,М.Қозыбаев атындағы Солтүстік Қазақстан мемлекеттік университеті,Дене шынықтыру және спорт,шығармашылық емтихан,шығармашылық емтихан,450,225,75,0,113,0
,Тараз мемлекеттік педагогикалық университеті,Дене шынықтыру және спорт,шығармашылық емтихан,шығармашылық емтихан,450,225,75,0,113,0
,М.Дулатов атындағы Тараз мемлекеттік университеті,Дене шынықтыру және спорт,шығармашылық емтихан,шығармашылық емтихан,450,225,75,0,113,0
,Тараз инновациялық-гуманитарлық университеті,Дене шынықтыру және спорт,шығармашылық емтихан,шығармашылық емтихан,450,225,75,0,113,0
,«Болашақ» университетінің,Дене шынықтыру және спорт,шығармашылық емтихан,шығармашылық емтихан,450,225,75,0,113,0
,Университеті «Сырдария»,Дене шынықтыру және спорт,шығармашылық емтихан,шығармашылық емтихан,450,225,75,0,113,0
,Шымкент университеті,Дене шынықтыру және спорт,шығармашылық емтихан,шығармашылық емтихан,450,225,75,0,113,0
,Оңтүстік Қазақстан мемлекеттік педагогикалық институты,Дене шынықтыру және спорт,шығармашылық емтихан,шығармашылық емтихан,450,225,75,0,113,0
,М.Әуезов атындағы Оңтүстік Қазақстан мемлекеттік университеті,Дене шынықтыру және спорт,шығармашылық емтихан,шығармашылық емтихан,450,225,75,0,113,0
,М. Сапарбаев атындағы Оңтүстік Қазақстан гуманитарлық институты,Дене шынықтыру және спорт,шығармашылық емтихан,шығармашылық емтихан,450,225,75,0,113,0
,Оңтүстік Қазақстан педагогикалық университеті,Дене шынықтыру және спорт,шығармашылық емтихан,шығармашылық емтихан,450,225,75,0,113,0
,Ақтөбе өңірлік мемлекеттік университеті im.K.Zhubanova,Дефектология,биология,география,400,285,95,0,15,0
,Х Досмұхамедов атындағы Атырау мемлекеттік университеті,Дефектология,биология,география,400,285,95,0,15,0
,С.Аманжолов атындағы Шығыс Қазақстан мемлекеттік университеті,Дефектология,биология,география,400,285,95,0,15,0
,І.Жансүгіров атындағы Жетісу мемлекеттік университеті,Дефектология,биология,география,400,285,95,0,15,0
,Қазақ мемлекеттік қыздар педагогикалық университеті,Дефектология,биология,география,400,285,95,0,15,0
,Абай атындағы Қазақ ұлттық педагогикалық университеті,Дефектология,биология,география,400,285,95,0,15,0
,Қазақстан инжиниринг және Халықтар достығы педагогикалық университеті,Дефектология,биология,география,400,285,95,0,15,0
,Қарағанды ​​мемлекеттік университеті,Дефектология,биология,география,400,285,95,0,15,0
,Қостанай мемлекеттік педагогикалық институты,Дефектология,биология,география,400,285,95,0,15,0
,Павлодар мемлекеттік педагогикалық институты,Дефектология,биология,география,400,285,95,0,15,0
,М.Қозыбаев атындағы Солтүстік Қазақстан мемлекеттік университеті,Дефектология,биология,география,400,285,95,0,15,0
,Тараз мемлекеттік педагогикалық университеті,Дефектология,биология,география,400,285,95,0,15,0
,«Болашақ» университетінің,Дефектология,биология,география,400,285,95,0,15,80
,Орта-Азиялық Университеті,Дефектология,биология,география,400,285,95,0,15,80
,Орталық Қазақстан академиясы,Дефектология,биология,география,400,285,95,0,15,80
,Оңтүстік Қазақстан мемлекеттік педагогикалық институты,Дефектология,биология,география,400,285,95,0,15,80
,М.Әуезов атындағы Оңтүстік Қазақстан мемлекеттік университеті,Дефектология,биология,география,400,285,95,0,15,80
,Оңтүстік Қазақстан педагогикалық университеті,Дефектология,биология,география,400,285,95,0,15,80
,Ақтөбе өңірлік мемлекеттік университеті im.K.Zhubanova,дизайн,шығармашылық емтихан,шығармашылық емтихан,65,49,16,0,0,80
,Ақтөбе университеті. С. Baisheva,дизайн,шығармашылық емтихан,шығармашылық емтихан,65,49,16,0,0,80
,Алматы технологиялық университеті,дизайн,шығармашылық емтихан,шығармашылық емтихан,65,49,16,0,0,80
,Х Досмұхамедов атындағы Атырау мемлекеттік университеті,дизайн,шығармашылық емтихан,шығармашылық емтихан,65,49,16,0,0,80
,Д.Серікбаев атындағы Шығыс Қазақстан мемлекеттік техникалық университеті,дизайн,шығармашылық емтихан,шығармашылық емтихан,65,49,16,0,0,80
,Мемлекеттік университеті Семей қаласының Шәкәрім атындағы атындағы,дизайн,шығармашылық емтихан,шығармашылық емтихан,65,49,16,0,0,80
,Гуманитарлық-техникалық институты «Ақмешіт»,дизайн,шығармашылық емтихан,шығармашылық емтихан,65,49,16,0,0,80
,Еуразиялық техникалық университеті,дизайн,шығармашылық емтихан,шығармашылық емтихан,65,49,16,0,0,80
,І.Жансүгіров атындағы Жетісу мемлекеттік университеті,дизайн,шығармашылық емтихан,шығармашылық емтихан,65,49,16,0,0,80
,М.Өтемісов атындағы Батыс-Қазақстан мемлекеттік университеті,дизайн,шығармашылық емтихан,шығармашылық емтихан,65,49,16,0,0,80
,Инновациялық Еуразия университеті,дизайн,шығармашылық емтихан,шығармашылық емтихан,65,49,16,0,0,80
,Қазақ Ұлттық Өнер академиясы,дизайн,шығармашылық емтихан,шығармашылық емтихан,65,49,16,0,0,80
,С.Сейфуллин атындағы Қазақ агротехникалық университеті,дизайн,шығармашылық емтихан,шығармашылық емтихан,65,49,16,0,0,80
,Қ.И. Сәтбаев атындағы Қазақ ұлттық техникалық зерттеу университетіне,дизайн,шығармашылық емтихан,шығармашылық емтихан,65,49,16,0,0,80
,Абай атындағы Қазақ ұлттық педагогикалық университеті,дизайн,шығармашылық емтихан,шығармашылық емтихан,65,49,16,0,0,80
,Әл-Фараби атындағы Қазақ ұлттық университеті,дизайн,шығармашылық емтихан,шығармашылық емтихан,65,49,16,0,0,80
,Қазақ Көлік университеті,дизайн,шығармашылық емтихан,шығармашылық емтихан,65,49,16,0,0,80
,Технология және бизнес университеті,дизайн,шығармашылық емтихан,шығармашылық емтихан,65,49,16,0,0,80
,"Экономика, қаржы және халықаралық сауда университеті",дизайн,шығармашылық емтихан,шығармашылық емтихан,65,49,16,0,0,80
,Қазақ-Орыс Халықаралық университеті,дизайн,шығармашылық емтихан,шығармашылық емтихан,65,49,16,0,0,0
,Қазақстан инжиниринг және Халықтар достығы педагогикалық университеті,дизайн,шығармашылық емтихан,шығармашылық емтихан,65,49,16,0,0,0
,Инновациялық Қазақстан университеті және телекоммуникациялық жүйелер,дизайн,шығармашылық емтихан,шығармашылық емтихан,65,49,16,0,0,0
,Қарағанды ​​мемлекеттік техникалық университеті,дизайн,шығармашылық емтихан,шығармашылық емтихан,65,49,16,0,0,2
,Қарағанды ​​мемлекеттік университеті,дизайн,шығармашылық емтихан,шығармашылық емтихан,65,49,16,0,0,2
,Каспий қоғамдық супермаркет,дизайн,шығармашылық емтихан,шығармашылық емтихан,65,49,16,0,0,2
,Ш.Уәлиханов атындағы Көкшетау мемлекеттік университеті,дизайн,шығармашылық емтихан,шығармашылық емтихан,65,49,16,0,0,2
,А. Мырзахметова атындағы Көкшетау университеті,дизайн,шығармашылық емтихан,шығармашылық емтихан,65,49,16,0,0,2
,Қызылорда мемлекеттік университеті Қорқыт Ата атындағы,дизайн,шығармашылық емтихан,шығармашылық емтихан,65,49,16,0,0,2
,Халықаралық білім беру корпорациясы,дизайн,шығармашылық емтихан,шығармашылық емтихан,65,49,16,0,0,2
,Халықаралық гуманитарлық-техникалық университеті,дизайн,шығармашылық емтихан,шығармашылық емтихан,65,49,16,0,0,5
,HA Яссауи атындағы Халықаралық қазақ-түрік университеті,дизайн,шығармашылық емтихан,шығармашылық емтихан,65,49,16,0,0,5
,С. Торайғыров атындағы Павлодар мемлекеттік университеті,дизайн,шығармашылық емтихан,шығармашылық емтихан,65,49,16,0,0,5
,Аймақтық әлеуметтік-инновациялық университеті,дизайн,шығармашылық емтихан,шығармашылық емтихан,65,49,16,0,0,5
,Рудный индустриалдық институты,дизайн,шығармашылық емтихан,шығармашылық емтихан,65,49,16,0,0,5
,Тараз мемлекеттік педагогикалық университеті,дизайн,шығармашылық емтихан,шығармашылық емтихан,65,49,16,0,0,5
,М.Дулатов атындағы Тараз мемлекеттік университеті,дизайн,шығармашылық емтихан,шығармашылық емтихан,65,49,16,0,0,5
,Университеті «Астана»,дизайн,шығармашылық емтихан,шығармашылық емтихан,65,49,16,0,0,5
,«Болашақ» университетінің,дизайн,шығармашылық емтихан,шығармашылық емтихан,65,49,16,0,0,5
,«Мирас» университеті,дизайн,шығармашылық емтихан,шығармашылық емтихан,65,49,16,0,0,5
,Университеті «Сырдария»,дизайн,шығармашылық емтихан,шығармашылық емтихан,65,49,16,0,0,5
,Университеті «Тұран-Астана»,дизайн,шығармашылық емтихан,шығармашылық емтихан,65,49,16,0,0,5
,Орта-Азиялық Университеті,дизайн,шығармашылық емтихан,шығармашылық емтихан,65,49,16,0,0,5
,Орталық Қазақстан академиясы,дизайн,шығармашылық емтихан,шығармашылық емтихан,65,49,16,0,0,5
,М.Әуезов атындағы Оңтүстік Қазақстан мемлекеттік университеті,дизайн,шығармашылық емтихан,шығармашылық емтихан,65,49,16,0,0,5
,М. Сапарбаев атындағы Оңтүстік Қазақстан гуманитарлық институты,дизайн,шығармашылық емтихан,шығармашылық емтихан,65,49,16,0,0,5
,Ислам мәдениетінің Египет университеті «Нұр-Мүбарак»,дін тану,шығармашылық емтихан,шығармашылық емтихан,100,75,25,0,0,5
,Еңбек және әлеуметтік қатынастар қазақ академиясы,дін тану,шығармашылық емтихан,шығармашылық емтихан,100,75,25,0,0,5
,Әл-Фараби атындағы Қазақ ұлттық университеті,дін тану,шығармашылық емтихан,шығармашылық емтихан,100,75,25,0,0,5
,Қарағанды ​​мемлекеттік университеті,дін тану,шығармашылық емтихан,шығармашылық емтихан,100,75,25,0,0,0
,HA Яссауи атындағы Халықаралық қазақ-түрік университеті,дін тану,шығармашылық емтихан,шығармашылық емтихан,100,75,25,0,0,0
,Шет тілдер және іскерлік карьера университеті,дін тану,шығармашылық емтихан,шығармашылық емтихан,100,75,25,0,0,0
,Қарағанды ​​мемлекеттік университеті,Еңбекті ұйымдастыру және реттеу,математика,география,21,15,6,0,0,0
,Университеті «Нархоз»,Еңбекті ұйымдастыру және реттеу,математика,география,21,15,6,0,0,12
,О.А. Джолдасбекова атындағы экономика және құқық академиясы,Есеп және аудит,математика,география,110,83,27,0,0,12
,Ақтөбе өңірлік мемлекеттік университеті im.K.Zhubanova,Есеп және аудит,математика,география,110,83,27,0,0,12
,Ақтөбе университеті. С. Baisheva,Есеп және аудит,математика,география,110,83,27,0,0,12
,Экономика және статистика Алматы академиясы,Есеп және аудит,математика,география,110,83,27,0,0,12
,Алматы технологиялық университеті,Есеп және аудит,математика,география,110,83,27,0,0,12
,Алматы менеджмент университеті,Есеп және аудит,математика,география,110,83,27,0,0,12
,Х Досмұхамедов атындағы Атырау мемлекеттік университеті,Есеп және аудит,математика,география,110,83,27,0,0,12
,Атырау мұнай және газ университеті,Есеп және аудит,математика,география,110,83,27,0,0,12
,Д.Серікбаев атындағы Шығыс Қазақстан мемлекеттік техникалық университеті,Есеп және аудит,математика,география,110,83,27,0,0,12
,С.Аманжолов атындағы Шығыс Қазақстан мемлекеттік университеті,Есеп және аудит,математика,география,110,83,27,0,0,12
,Мемлекеттік университеті Семей қаласының Шәкәрім атындағы атындағы,Есеп және аудит,математика,география,110,83,27,0,0,12
,Гуманитарлық-техникалық академиясы,Есеп және аудит,математика,география,110,83,27,0,0,12
,Гуманитарлық-техникалық институты «Ақмешіт»,Есеп және аудит,математика,география,110,83,27,0,0,12
,L.N.Gumilyov Еуразия ұлттық университеті,Есеп және аудит,математика,география,110,83,27,0,0,12
,Еуразиялық техникалық университеті,Есеп және аудит,математика,география,110,83,27,0,0,12
,І.Жансүгіров атындағы Жетісу мемлекеттік университеті,Есеп және аудит,математика,география,110,83,27,0,0,12
,Хан Жәңгір атындағы Батыс Қазақстан аграрлық-техникалық университеті,Есеп және аудит,математика,география,110,83,27,0,0,12
,М.Өтемісов атындағы Батыс-Қазақстан мемлекеттік университеті,Есеп және аудит,математика,география,110,83,27,0,0,12
,Батыс Қазақстан инновациялық және технология университеті,Есеп және аудит,математика,география,110,83,27,0,0,12
,Инновациялық Еуразия университеті,Есеп және аудит,математика,география,110,83,27,0,0,0
,Қазақ автокөлік-жол академиясы L.Goncharova атындағы,Есеп және аудит,математика,география,110,83,27,0,0,0
,Көлік және М.Тынышпаев атындағы коммуникациялар академиясы,Есеп және аудит,математика,география,110,83,27,0,0,0
,Еңбек және әлеуметтік қатынастар қазақ академиясы,Есеп және аудит,математика,география,110,83,27,0,0,4
,С.Сейфуллин атындағы Қазақ агротехникалық университеті,Есеп және аудит,математика,география,110,83,27,0,0,4
,Қазақ мемлекеттік қыздар педагогикалық университеті,Есеп және аудит,математика,география,110,83,27,0,0,4
,Қазақ гуманитарлық-заң инновациялық университетінің,Есеп және аудит,математика,география,110,83,27,0,0,4
,Қазақ гуманитарлық заң университеті,Есеп және аудит,математика,география,110,83,27,0,0,4
,Қазақ ұлттық аграрлық университеті,Есеп және аудит,математика,география,110,83,27,0,0,4
,Абай атындағы Қазақ ұлттық педагогикалық университеті,Есеп және аудит,математика,география,110,83,27,0,0,4
,Әл-Фараби атындағы Қазақ ұлттық университеті,Есеп және аудит,математика,география,110,83,27,0,0,4
,Қазақ Көлік университеті,Есеп және аудит,математика,география,110,83,27,0,0,4
,Технология және бизнес университеті,Есеп және аудит,математика,география,110,83,27,0,0,4
,"Экономика, қаржы және халықаралық сауда университеті",Есеп және аудит,математика,география,110,83,27,0,0,4
,Қазақ-Орыс Халықаралық университеті,Есеп және аудит,математика,география,110,83,27,0,0,4
,Қазақстан инжиниринг және Халықтар достығы педагогикалық университеті,Есеп және аудит,математика,география,110,83,27,0,0,4
,Қазақстан инженерлік-технологиялық университеті,Есеп және аудит,математика,география,110,83,27,0,0,4
,КИМЭП университеті,Есеп және аудит,математика,география,110,83,27,0,0,4
,Инновациялық Қазақстан университеті және телекоммуникациялық жүйелер,Есеп және аудит,математика,география,110,83,27,0,0,4
,Қазақстан-Американдық еркін университеті,Есеп және аудит,математика,география,110,83,27,0,0,4
,Қарағанды ​​мемлекеттік техникалық университеті,Есеп және аудит,математика,география,110,83,27,0,0,4
,Қарағанды ​​мемлекеттік университеті,Есеп және аудит,математика,география,110,83,27,0,0,4
,Қазтұтынуодағы Қарағанды ​​экономикалық университетінің,Есеп және аудит,математика,география,110,83,27,0,0,4
,Каспий қоғамдық супермаркет,Есеп және аудит,математика,география,110,83,27,0,0,4
,Ш.Уәлиханов атындағы Көкшетау мемлекеттік университеті,Есеп және аудит,математика,география,110,83,27,0,0,4
,А. Мырзахметова атындағы Көкшетау университеті,Есеп және аудит,математика,география,110,83,27,0,0,4
,А.Байтұрсынов атындағы Қостанай мемлекеттік университеті,Есеп және аудит,математика,география,110,83,27,0,0,4
,Қостанай инженерлік-экономикалық университеті im.M.Dulatova,Есеп және аудит,математика,география,110,83,27,0,0,4
,Z.Aldamzhara атындағы Қостанай әлеуметтік-техникалық университеті,Есеп және аудит,математика,география,110,83,27,0,0,0
,Қызылорда мемлекеттік университеті Қорқыт Ата атындағы,Есеп және аудит,математика,география,110,83,27,0,0,0
,Маңғыстау гуманитарлық-техникалық университеті,Есеп және аудит,математика,география,110,83,27,0,0,0
,Халықаралық білім беру корпорациясы,Есеп және аудит,математика,география,110,83,27,0,0,0
,Халықаралық гуманитарлық-техникалық университеті,Есеп және аудит,математика,география,110,83,27,0,0,0
,HA Яссауи атындағы Халықаралық қазақ-түрік университеті,Есеп және аудит,математика,география,110,83,27,0,0,0
,С. Торайғыров атындағы Павлодар мемлекеттік университеті,Есеп және аудит,математика,география,110,83,27,0,0,0
,Аймақтық әлеуметтік-инновациялық университеті,Есеп және аудит,математика,география,110,83,27,0,0,0
,М.Дулатов атындағы Тараз мемлекеттік университеті,Есеп және аудит,математика,география,110,83,27,0,0,0
,Тараз инновациялық-гуманитарлық университеті,Есеп және аудит,математика,география,110,83,27,0,0,10
,Теміртау,Есеп және аудит,математика,география,110,83,27,0,0,10
,Университеті «Астана»,Есеп және аудит,математика,география,110,83,27,0,0,10
,«Болашақ» университетінің,Есеп және аудит,математика,география,110,83,27,0,0,10
,«Мирас» университеті,Есеп және аудит,математика,география,110,83,27,0,0,10
,Университеті «Нархоз»,Есеп және аудит,математика,география,110,83,27,0,0,10
,Университеті «Сырдария»,Есеп және аудит,математика,география,110,83,27,0,0,10
,Университеті «Тұран-Астана»,Есеп және аудит,математика,география,110,83,27,0,0,10
,«Тұран» университетінің,Есеп және аудит,математика,география,110,83,27,0,0,10
,Сүлейман Демирел университетінің атауы,Есеп және аудит,математика,география,110,83,27,0,0,10
,Шет тілдер және іскерлік карьера университеті,Есеп және аудит,математика,география,110,83,27,0,0,0
,Халықаралық бизнес университеті,Есеп және аудит,математика,география,110,83,27,0,0,0
,Қаржы академиясы,Есеп және аудит,математика,география,110,83,27,0,0,0
,Орта-Азиялық Университеті,Есеп және аудит,математика,география,110,83,27,0,0,0
,Орталық Қазақстан академиясы,Есеп және аудит,математика,география,110,83,27,0,0,0
,Шымкент университеті,Есеп және аудит,математика,география,110,83,27,0,0,0
,М.Әуезов атындағы Оңтүстік Қазақстан мемлекеттік университеті,Есеп және аудит,математика,география,110,83,27,0,0,0
,М. Сапарбаев атындағы Оңтүстік Қазақстан гуманитарлық институты,Есеп және аудит,математика,география,110,83,27,0,0,0
,Оңтүстік Қазақстан педагогикалық университеті,Есеп және аудит,математика,география,110,83,27,0,0,0
,Атырау мұнай және газ университеті,жаңа материалдар ғылым және технология,математика,физика,280,210,70,0,0,0
,С.Аманжолов атындағы Шығыс Қазақстан мемлекеттік университеті,жаңа материалдар ғылым және технология,математика,физика,280,210,70,0,0,0
,Қ.И. Сәтбаев атындағы Қазақ ұлттық техникалық зерттеу университетіне,жаңа материалдар ғылым және технология,математика,физика,280,210,70,0,0,0
,Әл-Фараби атындағы Қазақ ұлттық университеті,жаңа материалдар ғылым және технология,математика,физика,280,210,70,0,0,0
,Қарағанды ​​мемлекеттік техникалық университеті,жаңа материалдар ғылым және технология,математика,физика,280,210,70,0,0,0
,М.Дулатов атындағы Тараз мемлекеттік университеті,жаңа материалдар ғылым және технология,математика,физика,280,210,70,0,0,0
,Теміртау,жаңа материалдар ғылым және технология,математика,физика,280,210,70,0,0,0
,Орта-Азиялық Университеті,жаңа материалдар ғылым және технология,математика,физика,280,210,70,0,0,0
,Атырау мұнай және газ университеті,жерге орналастыру,биология,география,100,75,25,0,0,0
,Д.Серікбаев атындағы Шығыс Қазақстан мемлекеттік техникалық университеті,жерге орналастыру,биология,география,100,75,25,0,0,0
